Ier_ID,Parks,TranspVeids,GarNr,MarsrNos,TMarsruts,Virziens,Laiks,ValidTalonaId
202985,7 parks,Autobuss,79022,Abrenes iela - Lidosta,A 22,Forth,23.11.2018 19:02:16,17
202986,7 parks,Autobuss,79044,Abrenes iela - Lidosta,A 22,Forth,23.11.2018 20:04:53,17
202987,7 parks,Autobuss,76538,Daugavgrīva - Pļavnieki,A 3,Forth,23.11.2018 20:40:49,17
202988,7 parks,Autobuss,76538,Daugavgrīva - Pļavnieki,A 3,Back,23.11.2018 21:23:19,17
202989,6 parks,Autobuss,64202,Abrenes iela - Lāčupes kapi,A 39,Forth,23.11.2018 21:58:23,17
202990,6 parks,Autobuss,68215,Imanta 5 - Jugla 3,A 21,Back,23.11.2018 22:40:28,17
202991,5 parks,Tramvajs,57147,Imanta - Jugla,Tm 1,Forth,23.11.2018 23:01:13,17
206752,1 parks,Trolejbuss,16240,Latv. Universitāte - Višķu,Tr 15,Back,23.11.2018 11:29:30,20
206753,5 parks,Tramvajs,57147,Imanta - Jugla,Tm 1,Back,23.11.2018 11:59:57,20
206754,2 parks,Trolejbuss,29320,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 12:20:39,20
206755,6 parks,Autobuss,64322,Babītes stacija - Preču 2,A 13,Back,23.11.2018 14:38:43,20
206756,6 parks,Autobuss,69123,Abrenes iela - Piņķi,A 4,Back,23.11.2018 15:10:36,20
206757,7 parks,Autobuss,72754,Abrenes iela - Mārupe,A 25,Back,23.11.2018 15:42:48,20
206758,2 parks,Trolejbuss,29190,Centrālā stacija - Purvciems,Tr 23,Forth,23.11.2018 16:04:35,20
206759,2 parks,Trolejbuss,28501,Centrālā stacija - Mežciems,Tr 18,Back,23.11.2018 16:12:59,20
206760,1 parks,Trolejbuss,17638,E.Birznieka Upiša - Pļavnieki,Tr 22,Back,23.11.2018 16:31:24,20
206761,2 parks,Trolejbuss,29440,Stacijas laukums - Iļģuciems,Tr 9,Forth,23.11.2018 16:45:08,20
206762,7 parks,Autobuss,79077,Abrenes iela - Lidosta,A 22,Forth,23.11.2018 17:14:27,20
206763,6 parks,Autobuss,62441,Daugavgrīva – Ziepniekkalns,A 56,Forth,23.11.2018 18:10:47,20
