stop_id,stop_name,stop_lat,stop_lon
0462,Tadenavas iela,56.98863,24.29896
0461,Tadenavas iela,56.98862,24.29844
0334,Upesciema iela,56.99053,24.29151
0335,Upesciema iela,56.99057,24.29169
1382,Upesgrīvas iela,56.91975,24.04148
8082,Upesgrīvas iela,56.91948,24.04120
5185,Nacionālā bibliotēka,56.94244,24.09702
5186,Nacionālā bibliotēka,56.94183,24.09516
1111,Slokas iela,56.93877,24.08958
1243,Slokas iela,56.93934,24.09082
0491,Ūnijas iela,56.96430,24.17686
0499,Vaidavas iela,56.96208,24.17614
2126,Vaidavas iela,56.96165,24.17604
1335,K.Ulmaņa gatve,56.91884,24.09253
1360,Vaiņodes iela,56.91827,24.09213
1339,94.vidusskola,56.89907,24.09220
1343,94.vidusskola,56.90021,24.09268
2107,Ēbelmuižas iela,56.90439,24.09380
1345,Graudu iela,56.90981,24.09553
1346,Graudu iela,56.90828,24.09508
1338,Spulgas iela,56.90201,24.09324
1344,Spulgas iela,56.90346,24.09375
1271,Tadaiķu iela,56.91570,24.09710
1270,Valdeķu iela,56.91453,24.09657
1338a,Ziepniekkalns,56.90231,24.09350
2117,Valguma iela,56.94057,24.09621
0274,Matīsa iela,56.95107,24.14932
0271,Matīsa iela,56.95067,24.14837
0330,Pagrieziens uz Mangaļiem,57.07066,24.10501
0304,Skanstnieki,57.05536,24.10439
0305,Skanstnieki,57.05585,24.10439
0444,"Stacija ""Vecdaugava""",57.05941,24.10600
0442,"Stacija ""Vecdaugava""",57.05902,24.10564
0331,Vecāķu prospekts,57.07029,24.10484
0523,Zvejas iela,57.06368,24.10613
0524,Zvejas iela,57.06418,24.10585
1606,Veiksmes iela,57.05612,24.07261
1607,Veiksmes iela,57.05640,24.07280
1409,Astras iela,56.93162,24.05150
1410,Astras iela,56.93162,24.05095
1411,Jaunmoku iela,56.93415,24.04481
1412,Jaunmoku iela,56.93364,24.04570
7981,7.autobusu parks,56.94023,24.16586
0392,"RP SIA ""Rīgas satiksme""",56.94365,24.16486
0452,Stopiņu iela,56.94955,24.16324
0451,Stopiņu iela,56.94982,24.16333
0510,Vietalvas iela,56.94652,24.16471
0509,Vietalvas iela,56.94654,24.16408
1351,Ābolu iela,56.90626,24.08330
1352,Ābolu iela,56.90449,24.08187
1354,Graudu iela,56.90951,24.08536
1353,Graudu iela,56.91048,24.08617
1355,Ģimnastikas iela,56.91706,24.08799
1356,Ģimnastikas iela,56.91580,24.08748
2048,Irbenes iela,56.91395,24.08724
2049,Irbenes iela,56.91347,24.08685
5331,Robežu iela/Bērnu slimnīca,56.91925,24.08836
1357,Robežu iela/Bērnu slimnīca,56.92055,24.08885
1362,Satiksmes iela,56.92713,24.09038
1363,Satiksmes iela,56.92709,24.09051
5334,Vienības gatve,56.89966,24.07872
0239,Lēdurgas iela,57.01913,24.13209
7996,"Muzejs ""Dauderi""",57.00337,24.12984
0365,"Muzejs ""Dauderi""",57.00519,24.12891
0051,Viestura prospekts,57.00004,24.13192
0050,Viestura prospekts,56.99909,24.13215
0217,Viestura prospekts 97,57.00906,24.12891
0216,Viestura prospekts 97,57.00957,24.12932
5452,Matīsa kapi,56.94707,24.15960
5453,Matīsa kapi,56.94731,24.15758
5458,Sergeja Žoltoka vidusskola,56.94470,24.16981
1117,Kuldīgas iela,56.94834,24.05796
1237,Kuldīgas iela,56.94762,24.05979
0471,TEC-1,56.98970,24.18669
