stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
0411,,"Sakņu iela",,56.86331,24.28268,https://saraksti.rigassatiksme.lv/index.html#stop/0411,,
0410,,"Sakņu iela",,56.86345,24.28237,https://saraksti.rigassatiksme.lv/index.html#stop/0410,,
5204,,"Mārupes novada dome",,56.90574,24.05568,https://saraksti.rigassatiksme.lv/index.html#stop/5204,,
5205,,"Mārupes novada dome",,56.90595,24.05616,https://saraksti.rigassatiksme.lv/index.html#stop/5205,,
5315,,"Purmaļi",,56.89765,24.03487,https://saraksti.rigassatiksme.lv/index.html#stop/5315,,
5316,,"Purmaļi",,56.89768,24.03548,https://saraksti.rigassatiksme.lv/index.html#stop/5316,,
5361,,"Senči",,56.89983,24.04377,https://saraksti.rigassatiksme.lv/index.html#stop/5361,,
5362,,"Senči",,56.90003,24.04500,https://saraksti.rigassatiksme.lv/index.html#stop/5362,,
5438,,"Vizmas",,56.89058,24.00593,https://saraksti.rigassatiksme.lv/index.html#stop/5438,,
5440,,"Zaigas",,56.89432,24.02077,https://saraksti.rigassatiksme.lv/index.html#stop/5440,,
5441,,"Zaigas",,56.89442,24.02160,https://saraksti.rigassatiksme.lv/index.html#stop/5441,,
5091,,"Daugavgrīvas iela",,56.94507,24.08178,https://saraksti.rigassatiksme.lv/index.html#stop/5091,,
1226,,"Dzegužkalns",,56.96220,24.07116,https://saraksti.rigassatiksme.lv/index.html#stop/1226,,
1227,,"Dzegužkalns",,56.96120,24.07073,https://saraksti.rigassatiksme.lv/index.html#stop/1227,,
1228,,"Iļģuciems",,56.96578,24.07159,https://saraksti.rigassatiksme.lv/index.html#stop/1228,,
1229,,"Iļģuciems",,56.96597,24.07146,https://saraksti.rigassatiksme.lv/index.html#stop/1229,,
0612,,"Kliņģeru iela",,56.95329,24.07043,https://saraksti.rigassatiksme.lv/index.html#stop/0612,,
0640,,"Kliņģeru iela",,56.95293,24.07030,https://saraksti.rigassatiksme.lv/index.html#stop/0640,,
1129,,"Lidoņu iela",,56.97111,24.07343,https://saraksti.rigassatiksme.lv/index.html#stop/1129,,
1130,,"Lidoņu iela",,56.97145,24.07331,https://saraksti.rigassatiksme.lv/index.html#stop/1130,,
1135,,"Pagrieziens uz Voleriem",,56.98866,24.08296,https://saraksti.rigassatiksme.lv/index.html#stop/1135,,
1133,,"Podraga iela",,56.97798,24.07999,https://saraksti.rigassatiksme.lv/index.html#stop/1133,,
1134,,"Podraga iela",,56.97855,24.08096,https://saraksti.rigassatiksme.lv/index.html#stop/1134,,
1131,,"Spilves lidlauks",,56.97415,24.07559,https://saraksti.rigassatiksme.lv/index.html#stop/1131,,
