VehicleMessageID,SentDate,VehicleID,SendingReason,Odometer,WGS84Fi,WGS84La,Delay,Gyro,Speed,ShiftID,TripID
869682469,2018-11-23 17:47:37.000,63,6,7343,"56,91159","24,19249",1,140,0,466,416024
869682624,2018-11-23 17:47:28.000,63,12,7303,"56,91188","24,1921",1,141,35,466,416024
869682730,2018-11-23 17:47:26.000,63,17,7293,"56,91195","24,192",1,140,36,466,416024
869682784,2018-11-23 17:47:24.000,63,1,7272,"56,9121","24,19179",2,139,37,466,416024
869683648,2018-11-23 17:47:56.000,63,10,7392,"56,91126","24,193",1,143,31,466,416024
869683885,2018-11-23 17:47:46.000,63,7,7344,"56,91159","24,19249",1,140,0,466,416024
869683983,2018-11-23 17:48:48.000,63,10,7743,"56,90878","24,19654",1,137,30,466,416024
869684170,2018-11-23 17:48:40.000,63,7,7698,"56,90907","24,19601",1,138,0,466,416024
869684360,2018-11-23 17:48:32.000,63,6,7698,"56,90907","24,19601",1,138,0,466,416024
869684411,2018-11-23 17:48:30.000,63,8,7698,"56,90907","24,19602",1,138,0,466,416024
869684649,2018-11-23 17:48:19.000,63,12,7661,"56,90933","24,19566",1,134,28,466,416024
869684822,2018-11-23 17:49:18.000,63,1,8035,"56,90689","24,19982",1,123,31,466,416024
869685510,2018-11-23 17:49:55.000,63,10,8205,"56,90611","24,2022",1,114,24,466,416024
869685740,2018-11-23 17:49:46.000,63,7,8153,"56,9063","24,20143",1,119,0,466,416024
869685935,2018-11-23 17:49:38.000,63,8,8153,"56,9063","24,20143",1,119,0,466,416024
869685970,2018-11-23 17:49:37.000,63,6,8153,"56,9063","24,20143",1,119,0,466,416024
869686232,2018-11-23 17:49:25.000,63,12,8107,"56,90653","24,20081",1,122,38,466,416024
869686326,2018-11-23 17:50:34.000,63,12,8600,"56,90458","24,20802",1,134,34,466,416024
869686511,2018-11-23 17:50:26.000,63,1,8528,"56,90493","24,20704",1,113,42,466,416024
869687295,2018-11-23 17:51:05.000,63,10,8683,"56,90406","24,209",0,134,29,466,416024
869687501,2018-11-23 17:50:55.000,63,7,8640,"56,90433","24,20849",0,133,0,466,416024
869687762,2018-11-23 17:50:44.000,63,6,8640,"56,90433","24,20849",0,133,0,466,416024
869688393,2018-11-23 17:51:26.000,63,8,8783,"56,90428","24,21028",0,42,0,466,416024
869688870,2018-11-23 17:52:14.000,63,8,9091,"56,90267","24,21402",0,132,0,466,416024
869688931,2018-11-23 17:52:11.000,63,6,9091,"56,90267","24,21402",0,132,0,466,416024
869689119,2018-11-23 17:52:03.000,63,12,9051,"56,90292","24,21355",0,136,37,466,416024
869689256,2018-11-23 17:51:58.000,63,1,9006,"56,90321","24,21303",0,131,46,466,416024
869690173,2018-11-23 17:52:28.000,63,10,9132,"56,90243","24,21453",0,130,28,466,416024
869690359,2018-11-23 17:52:20.000,63,7,9091,"56,90267","24,21402",0,132,0,466,416024
869690448,2018-11-23 17:53:22.000,63,6,9521,"56,89987","24,21577",-6,225,0,466,416024
869690680,2018-11-23 17:53:13.000,63,21,9506,"56,89996","24,21594",-6,226,18,466,416024
869690862,2018-11-23 17:53:06.000,63,17,9466,"56,90022","24,21639",-6,222,19,466,416024
869691031,2018-11-23 17:52:59.000,63,21,9419,"56,90053","24,21693",0,222,22,466,416024
869691052,2018-11-23 17:52:58.000,63,1,9412,"56,90057","24,217",0,217,22,466,416024
869691579,2018-11-23 17:53:42.000,63,12,9574,"56,89948","24,21535",-6,183,21,466,416025
869691776,2018-11-23 17:53:34.000,63,21,9527,"56,89983","24,21572",-6,219,10,466,416024
869691849,2018-11-23 17:53:31.000,63,7,9521,"56,89987","24,21577",-6,225,0,466,416024
869692707,2018-11-23 17:54:07.000,63,6,9630,"56,89968","24,21596",0,40,0,466,416025
869692744,2018-11-23 17:54:06.000,63,17,9630,"56,89968","24,21596",0,40,0,466,416025
869692878,2018-11-23 17:54:00.000,63,8,9630,"56,89968","24,21596",-8,40,0,466,416025
869693614,2018-11-23 17:54:37.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869693762,2018-11-23 17:55:40.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869694534,2018-11-23 17:55:09.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869694737,2018-11-23 17:56:10.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869695645,2018-11-23 17:56:40.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869696550,2018-11-23 17:57:11.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869697504,2018-11-23 17:57:42.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869698525,2018-11-23 17:58:12.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869699465,2018-11-23 17:58:43.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869700426,2018-11-23 17:59:14.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869701654,2018-11-23 17:59:45.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869701849,2018-11-23 18:00:46.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869702830,2018-11-23 18:00:15.000,63,1,9630,"56,89968","24,21596",0,40,0,466,416025
869703000,2018-11-23 18:01:16.000,63,1,9631,"56,89967","24,21596",0,40,0,466,416025
869704232,2018-11-23 18:01:37.000,63,7,9631,"56,89967","24,21596",0,40,0,466,416025
869704899,2018-11-23 18:02:22.000,63,7,9694,"56,90016","24,21644",0,44,0,466,416026
869704985,2018-11-23 18:02:19.000,63,8,9694,"56,90016","24,21644",0,44,0,466,416026
869705041,2018-11-23 18:02:17.000,63,6,9694,"56,90016","24,21644",0,44,0,466,416026
869705178,2018-11-23 18:02:10.000,63,12,9686,"56,90011","24,21636",0,43,15,466,416026
869705280,2018-11-23 18:02:07.000,63,8,9660,"56,89993","24,21609",0,10,7,466,416025
869705468,2018-11-23 18:02:01.000,63,10,9655,"56,89988","24,21608",0,10,7,466,416025
869705587,2018-11-23 18:01:57.000,63,21,9647,"56,89981","24,21605",0,17,14,466,416025
869706428,2018-11-23 18:02:35.000,63,21,9758,"56,9006","24,21713",0,38,28,466,416026
869706476,2018-11-23 18:02:33.000,63,10,9742,"56,90048","24,21696",0,41,28,466,416026
869706534,2018-11-23 18:03:38.000,63,10,10211,"56,90351","24,21249",0,312,34,466,416026
869706698,2018-11-23 18:03:31.000,63,7,10155,"56,90318","24,21319",0,310,6,466,416026
869706761,2018-11-23 18:03:28.000,63,8,10152,"56,90317","24,21324",0,310,0,466,416026
